ticker
AALI
ABMM
ACES
ADHI
AISA
AKRA
AMRT
ANTM
APLN
ARNA
ARTO
ASGR
ASII
ASRI
ASSA
AUTO
BACA
BALI
BAYU
BBCA
BBHI
BBNI
BBRI
BBTN
BBYB
BCAP
BDMN
BEST
BFIN
BGTG
BINA
BIRD
BISI
BJBR
BJTM
BKSL
BMRI
BMTR
BNGA
BNII
BNLI
BRMS
BRPT
BSDE
BSIM
BTPN
BUDI
BUKK
BUMI
BVIC
BWPT
BYAN
CASS
CFIN
CITA
CMNP
CPIN
CTRA
DEWA
DILD
DLTA
DMAS
DNET
DOID
DSNG
DSSA
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
GEMS
GGRM
GJTL
GWSA
HEXA
HMSP
HRUM
ICBP
IMAS
IMPC
INCO
INDF
INDY
INKP
INPC
INTP
ISAT
ISSP
ITMG
JKON
JPFA
JRPT
JSMR
JTPE
KBLI
KIJA
KKGI
KLBF
KPIG
LPKR
LPPF
LSIP
LTLS
MAIN
MAPI
MAYA
MBSS
MCOR
MDKA
MEDC
MEGA
MIDI
MIKA
MLBI
MLIA
MLPL
MMLP
MNCN
MPMX
MREI
MTDL
MTLA
MYOR
NISP
PANR
PANS
PGAS
PNBN
PNIN
PNLF
PTBA
PTPP
PTRO
PWON
RAJA
RALS
SAME
SCMA
SGRO
SIDO
SILO
SIMP
SMAR
SMBR
SMDR
SMGR
SMMA
SMRA
SMSM
SRTG
SSIA
SSMS
TBIG
TBLA
TINS
TKIM
TLKM
TMAS
TOBA
TOTL
TOWR
TPMA
TRIM
TSPC
ULTJ
UNIC
UNTR
UNVR
VICO
WIIM
WINS
WTON
SHIP
POWR
PRDA
BRIS
CARS
CLEO
WOOD
HRTA
MARK
MCAS
PSSI
MORA
PBID
IPCM
BTPS
SPTO
HEAL
TUGU
MSIN
MAPA
IPCC
FILM
PANI
GOOD
SKRN
BOLA
KEEN
TEBE
KEJU
PSGO
UCID
CSRA
SAMF
SGER
PNGO
BBSI
VICI
UNIQ
TAPG
BMHS
MCOL
GTSI
MTEL
CMRY
RMKE
AVIA
DRMA
ADMR
STAA
MTMH
TRGU
HATM
JARR
MKTR
OMED
SUNI
PGEO
BDKR
CUAN
SMIL
AMMN
MAHA
ERAL
BREN
MSTI
ALII
GOLF
DAAZ
AADI
MDIY
DGWG
CBDK
MINE
PSAT
BLOG
YUPI
MDLA
NCKL
MBMA
RAAM
ADRO
AGRO
BSBK
